ImageName,Complexity,Likability,Livingness
A1,,0.746031746031746,0.746031746031746
A10,,0.7777777777777778,0.7301587301587301
A10a,5.222222222222222,4.984126984126984,5.507936507936508
A10b,4.920634920634921,4.761904761904762,2.0317460317460316
A1a,5.73015873015873,6.031746031746032,5.619047619047619
A1b,3.8412698412698414,5.492063492063492,5.222222222222222
A2,,0.7936507936507936,0.9206349206349206
A2a,5.031746031746032,5.809523809523809,5.73015873015873
A2b,2.746031746031746,4.73015873015873,4.158730158730159
A3,,0.8095238095238095,0.7936507936507936
A3a,6.4603174603174605,5.698412698412699,5.603174603174603
A3b,3.4126984126984126,4.523809523809524,4.476190476190476
A4,,0.8412698412698413,0.8571428571428571
A4a,6.396825396825397,5.777777777777778,5.634920634920635
A4b,3.761904761904762,4.761904761904762,4.682539682539683
A5,,0.6666666666666666,0.746031746031746
A5a,6.063492063492063,5.285714285714286,4.841269841269841
A5b,3.3333333333333335,5.111111111111111,4.380952380952381
A6,,0.8888888888888888,0.873015873015873
A6a,6.222222222222222,1.9523809523809523,6.174603174603175
A6b,4.380952380952381,4.2063492063492065,3.984126984126984
A7,,0.4444444444444444,0.6349206349206349
A7a,7.0476190476190474,6.190476190476191,5.968253968253968
A7b,4.904761904761905,6.0476190476190474,5.666666666666667
A8,,0.873015873015873,0.746031746031746
A8a,7.920634920634921,6.650793650793651,6.111111111111111
A8b,4.0,4.746031746031746,4.444444444444445
A9,,0.9047619047619048,0.8412698412698413
A9a,5.904761904761905,5.761904761904762,5.285714285714286
A9b,3.5555555555555554,4.253968253968254,4.095238095238095
B1,,0.873015873015873,0.8412698412698413
B10,,0.9047619047619048,0.8412698412698413
B10a,6.920634920634921,6.222222222222222,5.714285714285714
B10b,2.0,4.857142857142857,4.650793650793651
B1a,6.285714285714286,6.190476190476191,5.619047619047619
B1b,2.2857142857142856,4.396825396825397,4.126984126984127
B2,,0.8412698412698413,0.8253968253968254
B2a,6.650793650793651,6.26984126984127,5.634920634920635
B2b,1.492063492063492,4.158730158730159,4.0476190476190474
B3,,0.9206349206349206,0.8095238095238095
B3a,5.746031746031746,6.444444444444445,7.0
B3b,2.015873015873016,4.5396825396825395,4.2063492063492065
B4,,0.9047619047619048,0.9047619047619048
B4a,5.317460317460317,5.603174603174603,5.666666666666667
B4b,2.5873015873015874,3.888888888888889,3.746031746031746
B5,,0.9047619047619048,0.8571428571428571
B5a,7.666666666666667,6.238095238095238,5.492063492063492
B5b,2.7936507936507935,4.349206349206349,3.9682539682539684
B6,,0.8253968253968254,0.7936507936507936
B6a,7.507936507936508,5.222222222222222,4.746031746031746
B6b,3.8412698412698414,4.0,3.4126984126984126
B7,,0.7619047619047619,0.8253968253968254
B7a,5.936507936507937,6.222222222222222,5.555555555555555
B7b,1.7619047619047619,4.476190476190476,4.095238095238095
B8,,0.7619047619047619,0.7936507936507936
B8a,6.158730158730159,6.111111111111111,5.73015873015873
B8b,4.26984126984127,4.666666666666667,6.0
B9,,0.8095238095238095,0.746031746031746
B9a,6.444444444444445,6.158730158730159,5.825396825396825
B9b,2.5555555555555554,4.396825396825397,4.063492063492063
C1,,0.7777777777777778,0.7142857142857143
C10,,0.8571428571428571,0.7777777777777778
C10a,7.333333333333333,6.682539682539683,6.015873015873016
C10b,6.190476190476191,5.063492063492063,4.222222222222222
C1a,6.761904761904762,6.73015873015873,6.111111111111111
C1b,5.190476190476191,5.841269841269841,5.26984126984127
C2,,0.8888888888888888,0.8253968253968254
C2a,6.809523809523809,6.904761904761905,2.0793650793650795
C2b,5.158730158730159,6.0,5.238095238095238
C3,,0.9841269841269841,0.9682539682539683
C3a,5.2063492063492065,5.936507936507937,5.285714285714286
C3b,3.380952380952381,3.6031746031746033,2.984126984126984
C4,,0.9682539682539683,0.9682539682539683
C4a,5.619047619047619,6.333333333333333,6.190476190476191
C4b,4.4603174603174605,5.0,4.841269841269841
C5,,0.7619047619047619,0.6666666666666666
C5a,5.253968253968254,6.412698412698413,9.0
C5b,3.492063492063492,7.031746031746032,4.380952380952381
C6,,0.9365079365079365,0.9206349206349206
C6a,5.920634920634921,6.507936507936508,6.0476190476190474
C6b,4.238095238095238,5.936507936507937,4.857142857142857
C7,,0.8253968253968254,0.873015873015873
C7a,5.984126984126984,6.698412698412699,6.222222222222222
C7b,4.507936507936508,4.507936507936508,3.857142857142857
C8,,0.8571428571428571,0.873015873015873
C8a,5.857142857142857,6.238095238095238,5.317460317460317
C8b,3.8412698412698414,4.26984126984127,3.7142857142857144
C9,,0.9047619047619048,0.9206349206349206
C9a,5.174603174603175,5.682539682539683,3.0
C9b,3.4285714285714284,4.4603174603174605,3.9682539682539684
Name,,,
Q2,4.714285714285714,4.2063492063492065,5.317460317460317
S1,2.761904761904762,3.253968253968254,2.3968253968253967
S11,2.1587301587301586,2.0634920634920637,1.6349206349206349
S12,1.2857142857142858,1.6507936507936507,2.3492063492063493
S13,2.0,2.0317460317460316,1.8888888888888888
S14,,1.8253968253968254,2.9365079365079363
S1Factor,14.714285714285714,15.46031746031746,23.174603174603174
S1Subscale,3.619047619047619,6.317460317460317,5.428571428571429
S1Subscale1,5.4603174603174605,5.507936507936508,3.746031746031746
S1Subscale2,,2.746031746031746,
S2,1.7619047619047619,2.2063492063492065,1.6031746031746033
S21,1.619047619047619,1.8095238095238095,1.9206349206349207
S22,1.4285714285714286,1.4285714285714286,1.7142857142857142
S23,2.5238095238095237,1.507936507936508,1.492063492063492
S24,,1.5396825396825398,2.142857142857143
S2Factor,10.825396825396826,17.523809523809526,17.333333333333332
S2Subscale,2.873015873015873,4.396825396825397,3.7936507936507935
S2Subscale1,3.984126984126984,5.079365079365079,3.3174603174603177
S2Subscale2,,3.0793650793650795,
