Connectedness to Nature,High L,Low L,High vs. Low L
4,5.6,3.9,1.7
4.071,6.133,4.6,1.533
3.929,6.033,4.067,1.967
3.929,6.4,3.7,2.7
3,5.433,3.867,1.567
4.071,5.9,5.567,0.333
4.357,6.033,4.033,2
4.429,5.767,3.033,2.733
3.714,5.267,5.133,0.133
2.571,4.733,3.8,0.933
3.714,5.933,3.867,2.067
3.571,6.767,4.733,2.033
3.571,4.567,3.933,0.633
3.5,5.267,2.167,3.1
4.143,5.367,4.8,0.567
3.286,5.133,3.867,1.267
3.929,5.2,4.6,0.6
3.857,6,5.067,0.933
3.071,5,4.3,0.7
3.714,5.433,5.167,0.267
3.429,4.933,2.767,2.167
4.143,6.2,4.667,1.533
3.5,4.767,4.733,0.033
3.929,6.3,5.8,0.5
3.786,5.9,4,1.9
3.714,6.333,4.433,1.9
3.643,5.367,4.8,0.567
3.786,4.967,3.667,1.3
3.857,5.667,3.2,2.467
4.214,5.633,2.9,2.733
3.214,4.9,4.4,0.5
3.286,5.267,4.433,0.833
2.643,5.133,4.767,0.367
3.786,7.133,5.3,1.833
4.286,6,4.067,1.933
3,4.533,3.6,0.933
4.857,6.567,3,3.567
2.571,4.967,4.267,0.7
4.143,5.233,2.867,2.367
3.714,6.9,4.633,2.267
4.143,5.5,4.2,1.3
3.429,5.6,4.167,1.433
3.571,4.833,4.8,0.033
3.357,5.867,5.267,0.6
2.786,4.733,4.6,0.133
3.929,6.2,4,2.2
4,5.767,4.7,1.067
3.786,5.067,4.2,0.867
3.357,4.733,4.833,-0.1
3.143,6.2,5.6,0.6
3.643,5.9,4.133,1.767
3.643,5.533,3,2.533
3.786,6.633,5.8,0.833
3.286,5.9,4.867,1.033
2.929,5.067,4.5,0.567
3.571,6,5.133,0.867
3.429,5.9,5.333,0.567
3.286,6.133,4.767,1.367
3.929,5.7,3.7,2
4.286,6.467,3.9,2.567
3.429,5.667,3.733,1.933
3.143,5.333,4.733,0.6
4,4.933,4,0.933
