measure,type,ICC2_1,ICC2_1_CI_low,ICC2_1_CI_high,ICC2_k,ICC2_k_CI_low,ICC2_k_CI_high,Cronbach_alpha
F1_LevelsOfScale,property,0.8096225593189924,0.7221574634893291,0.8663651850965624,0.9770258765983054,0.9629514493123396,0.9848095417331025,
F2_StrongCenters,property,0.7474921459219743,0.6551174346813796,0.8084565882675298,0.9673231751672582,0.9499884398071895,0.976855862403722,
F3_Boundaries,property,0.6513897074671067,0.5483825683290621,0.718976616081072,0.9492007405050072,0.9239117580655474,0.9623837101372023,
F4_AlternatingRepetition,property,0.7802556070932775,0.6790680230743166,0.841671123450385,0.9726083068195688,0.9548721205828044,0.9815360774343329,
F5_PositiveSpace,property,0.7549902968149639,0.6743335571525817,0.8051475861264735,0.9685679989609062,0.9539303492419868,0.9763710092714165,
F6_GoodShape,property,0.7807836251650675,0.7120094418552627,0.8287658396501584,0.9726903030245974,0.9611248297694154,0.9797569055689717,
F7_LocalSymmetries,property,0.7396412831431033,0.6483865351303949,0.8002305889214368,0.9659962798661383,0.9485605213264201,0.9756440408082327,
F8_DeepInterlockAndAmbiguity,property,0.7658110400710881,0.6681863569735299,0.8220312121892517,0.9703269035768144,0.9526904872950648,0.9788089023766784,
F9_Contrast,property,0.6711174793206947,0.5553862575077246,0.7423190628571973,0.9532841131803577,0.9258788867299741,0.9664516012898715,
F10_Gradients,property,0.7451189835520431,0.6388141996079271,0.8127439958126944,0.9669246466397526,0.946485661282858,0.9774789114265494,
F11_Roughness,property,0.687329939904082,0.577166603290379,0.7594612962374685,0.9564888131136756,0.9317405056899706,0.969300057704352,
F12_Echoes,property,0.7674399665337671,0.6647010418169413,0.8277164571729754,0.9705879323627498,0.951978787052682,0.9796100832945631,
F13_TheVoid,property,0.5499021329397034,0.4494825178145507,0.624704226811551,0.9243420996963169,0.8908860023400684,0.9433288105411561,
F14_SimplicityAndInnerCalm,property,0.5662662666625906,0.4400939643306695,0.6590512092063946,0.9288540795444308,0.887134961543872,0.9508114094318464,
F15_Not-Separateness,property,0.7442438727432887,0.6336953811098663,0.8080262735840879,0.9667771299526268,0.9453542446724759,0.9767930066610568,
CompositeLivingness,composite,0.8633402858641223,0.8023302407547099,0.8978841662088343,0.9844174755879075,0.9759554276760891,0.9887549485337419,
CompositeLivingness,internal_consistency,,,,,,,0.994165859397994
